文件夹名,标准歌名,pstNote数,prsNote数,ftrNote数,bydNote数
dl_einherjar,Einherjar Joker,582,767,1159,
dl_empireofwinter,Empire of Winter,484,662,920,
dl_enchantedlove,enchanted love,436,617,759,
dl_energysynergymatrix,ENERGY SYNERGY MATRIX,471,608,922,
dl_equilibrium,Equilibrium,587,724,951,
dl_essenceoftwilight,Essence of Twilight,556,767,1208,
dl_etherstrike,Ether Strike,659,837,1170,
dl_eveninginscarlet,Evening in Scarlet,530,638,922,
dl_evoltex,Evoltex(poppi'n mix),297,627,775,
dl_faintlight,Faint Light,587,711,809,
dl_fallensquare,Fallensquare,316,486,703,
dl_farawaylight,Far Away Light,656,769,1322,
dl_feelssoright,Feels So Right feat. Renko,594,636,947,
dl_felis,Felis,463,624,1153,
dl_filament,Filament,582,780,991,
dl_firstsnow,First Snow,366,442,578,
dl_flashback,Flashback,356,488,856,
dl_flyburg,Flyburg and Endroll,413,650,930,
dl_fractureray,Fracture Ray,983,1343,1279,
dl_galaxyfriends,Galaxy Friends,474,572,1013,
dl_garakuta,Garakuta Doll Play,444,572,1035,
dl_gekka,Gekka (Short Version),559,628,817,
dl_genesis,Genesis,275,399,713,
dl_gengaozo,G e n g a o z o,580,870,1353,
dl_genocider,GENOCIDER,832,1025,1483,
dl_gimmedablood,GIMME DA BLOOD,582,737,1093,
dl_givemeanightmare,Give Me a Nightmare,676,817,948,
dl_gloryroad,GLORY：ROAD,868,999,1479,
dl_glow,Glow,504,666,916,
dl_goldenslaughterer,goldenslaughterer,864,880,1326,
dl_gothiveofra,Got hive of Ra,322,509,794,
dl_gou,Misdeed -la bonté de Dieu et l'origine du mal-,814,1070,1522,
dl_grievouslady,Grievous Lady,956,1194,1450,
dl_guardina,γuarδina,507,678,1120,
dl_halcyon,Halcyon,662,943,1227,
dl_hallofmirrors,Hall of Mirrors,535,553,898,
dl_hearditsaid,I've heard it said,510,664,864,
dl_heartjackin,Heart Jackin,506,543,1112,
dl_heavenlycaress,Heavenly caress,855,909,1560,
dl_heavensdoor,Heavensdoor,766,869,1101,1534
dl_hikari,Hikari,237,450,684,
dl_hivemind,HIVEMIND,995,988,1252,
dl_iconoclast,Iconoclast,443,593,795,
dl_ifi,#1f1e33,765,1144,1576,
dl_ikazuchi,Ikazuchi,656,976,1347,
dl_impurebird,Impure Bird,350,518,805,
dl_izana,IZANA,609,836,976,
dl_journey,Journey,551,778,997,
dl_jump,Jump,531,622,841,
dl_kyogenkigo,False Embellishment,576,684,969,
dl_lapis,Lapis,391,520,920,
dl_laqryma,La'qryma of the Wasteland,447,651,956,1161
dl_lastcelebration,Last Celebration,969,994,1475,
dl_lastendconductor,lastendconductor,726,901,1209,1339
dl_lazyaddiction,Lazy Addiction,462,647,1031,
dl_lethaeus,Lethaeus,480,717,900,
dl_letyoudivermx,Let you DIVE! (nitro rmx),608,819,1049,
dl_libertas,Libertas,476,514,947,
dl_lifeispiano,Life is PIANO,398,437,674,
dl_lightningscrew,Lightning Screw,611,811,1192,
dl_linearaccelerator,Linear Accelerator,438,488,905,
dl_livefastdieyoung,Live Fast Die Young,565,837,1292,
dl_loschen,Löschen,642,850,1235,
dl_lostdesire,Lost Desire,684,871,1154,
dl_lumia,Lumia,469,438,961,814
dl_mahoroba,MAHOROBA,422,632,828,
dl_maliciousmischance,Malicious Mischance,510,706,1126,
dl_mazenine,Maze No.9,494,445,775,
dl_mazymetroplex,Mazy Metroplex,453,704,952,
dl_melodyoflove,A Wandering Melody of Love,422,670,931,
dl_memoryfactory,memoryfactory.lzh,308,448,672,
dl_memoryforest,Memory Forest,639,726,978,
dl_merlin,MERLIN,315,428,712,
dl_metallicpunisher,Metallic Punisher,500,846,1238,
dl_mirzam,Mirzam,662,881,1303,
dl_modelista,Modelista,418,691,1010,
dl_moonheart,Moonheart,449,566,947,1139
dl_moonlightofsandcastle,Moonlight of Sand Castle,418,394,645,
dl_neokosmo,nέο κόsmo,603,791,979,
dl_nexttoyou,next to you,454,583,824,954
dl_nirvluce,Nirv lucE,297,547,980,
dl_odysseia,ΟΔΥΣΣΕΙΑ,717,909,1092,
dl_omakeno,OMAKENO Stroke,502,616,869,
dl_omegafour,ω4,816,943,1393,
dl_onefr,1F√,411,539,758,
dl_oracle,Oracle,425,508,963,
dl_oshamascramble,Oshama Scramble!,508,568,1073,
dl_ouroboros,ouroboros -twin stroke of the end-,575,832,1369,
dl_overwhelm,Overwhelm,854,1038,1251,
dl_paperwitch,Paper Witch,348,487,793,
dl_paradise,Paradise,253,349,729,
dl_particlearts,Particle Arts,529,637,925,
dl_partyvinyl,Party Vinyl,337,543,800,
dl_phantasia,Phantasia,544,579,952,
dl_pragmatism,PRAGMATISM,476,855,942,1502
dl_purpleverse,Purple Verse,558,664,1023,
dl_quon,Quon,547,718,991,
dl_quonwacca,Quon(Wacca),425,496,749,1044
dl_reconstruction,REconstruction,347,469,825,
dl_redolentshape,Redolent Shape,570,717,1088,
dl_rekkaresonance,REKKA RESONANCE,860,1051,1212,
dl_relentless,Relentless,607,722,1015,
dl_ringedgenesis,Ringed Genesis,672,860,1146,
dl_romancewars,Romance Wars,423,378,641,
dl_saikyostronger,SAIKYO STRONGER,654,1067,1384,
dl_scarletcage,Scarlet Cage,570,711,1195,
dl_scarletlance,Scarlet Lance,517,644,1130,
dl_seclusion,Seclusion,544,762,1132,
dl_seventhsense,7thSense,360,739,925,
dl_sheriruth,Sheriruth,611,832,1151,
dl_sheriruthrmx,Sheriruth (Laur Remix),671,795,1134,
dl_silentrush,Silent Rush,416,674,941,
dl_singularity,Singularity,534,678,1105,
dl_smallcloud,Small Cloud Sugar Candy,548,727,919,
dl_solitarydream,Solitary Dream,712,854,972,
dl_soundwitch,SOUNDWiTCH,315,486,786,
dl_specta,Specta,390,706,1096,
dl_stager,STAGER (ALL STAGE CLEAR),453,559,1004,
dl_strongholds,Strongholds,570,778,922,
dl_sulfur,Sulfur,458,608,1045,
dl_summerfireworks,Summer Fireworks of Love,478,641,1088,
dl_surrender,Surrender,550,721,925,
dl_take,Bamboo,499,631,1050,
dl_tempestissimo,Tempestissimo,919,1034,1254,1540
dl_teriqma,Teriqma,345,579,873,
dl_themessage,The Message,536,630,992,
dl_theultimacy,THE ULTIMACY,749,919,1304,
dl_tiemedowngently,Tie me down gently,581,535,724,
dl_tiferet,Tiferet,450,720,1086,
dl_toaliceliddell,To: Alice Liddell,535,674,998,
dl_trappola,trappola bewitching,415,541,1044,
dl_turbocharger,Turbocharger,419,659,979,
dl_valhallazero,Valhalla 0,624,893,1173,
dl_vandalism,Vandalism,668,685,1087,
dl_viciousheroism,Vicious Heroism,430,756,1150,
dl_vindication,Vindication,721,899,1075,
dl_vividtheory,Vivid Theory,447,658,885,
dl_viyella,cry of viyella,414,492,791,
dl_viyellastears,Viyella's Tears,716,942,1403,
dl_withu,with U,448,649,932,
dl_worldvanquisher,World Vanquisher,529,759,1452,
dl_xanatos,Xanatos,735,938,1232,
dl_xeraphinite,Xeraphinite,383,643,1048,
dl_yourvoiceso,Your voice so... feat. Such,469,677,1013,
dl_yozakurafubuki,Yosakura Fubuki,416,582,931,
dreaminattraction,Dreamin' Attraction!!,592,785,1129,
espebranch,LunarOrbit -believe in the Espebranch road-,624,757,1058,
fairytale,Fairytale,336,511,782,932
freefall,FREEF4LL,589,782,1023,
goodtek,GOODTEK(Arcaea Edit),449,632,968,1103
grimheart,Grimheart,728,699,959,
harutopia,Harutopia -Utopia of Spring-,444,706,1061,
ignotus,Ignotus,579,809,1225,
infinityheaven,Infinity Heaven,336,545,853,986
inkarusi,inkar-usi,276,326,463,
kanagawa,Kanagawa Cyber Culvert,375,707,1111,1121
lostcivilization,Lost Civilization,462,690,986,768
lucifer,Lucifer,424,506,861,
monochromeprincess,Monochrome Princess,621,756,974,
nhelv,Nhelv,647,913,1108,
oblivia,Oblivia,574,517,956,
onelastdrive,One Last Drive,604,564,885,
purgatorium,Purgatorium,609,641,983,1051
qualia,qualia -ideaesthesia-,550,875,1022,1288
rabbitintheblackroom,Rabbit In The Black Room,373,467,772,
redandblue,Red and Blue,464,597,845,
reinvent,Reinvent,570,753,852,
revixy,ReviXy,538,729,1047,
rise,Rise,322,599,788,
rugie,Rugie,566,754,975,
sayonarahatsukoi,Sayonara Hatsukoi,205,305,666,
senkyou,Senkyou,627,722,964,
shadesoflight,Shades of Light in a Transcendent Realm,517,789,1067,
snowwhite,Snow White,486,672,978,
suomi,Suomi,368,550,818,
supernova,SUPERNOVA,664,564,1123,
syro,Syro,535,829,1150,
vector,VECTOЯ,675,1002,1299,
vexaria,Vexaria,369,554,734,785
worldexecuteme,world.execute(me);,452,582,851,
